Entity,Code,Year,Gas - Proved reserves
Africa,,1980,5745695000000
Africa,,1981,5672843500000
Africa,,1982,6030209500000
Africa,,1983,6032937500000
Africa,,1984,5964087500000
Africa,,1985,5913750000000
Africa,,1986,7093112500000
Africa,,1987,7074612600000
Africa,,1988,7351975000000
Africa,,1989,8104050000000.001
Africa,,1990,8179175000000.001
Africa,,1991,9080712000000
Africa,,1992,9449702000000
Africa,,1993,9565950000000
Africa,,1994,8719087999999.999
Africa,,1995,9486225000000
Africa,,1996,9716492000000
Africa,,1997,10152204000000
Africa,,1998,10294592000000
Africa,,1999,10942306500000
Africa,,2000,11925086000000
Africa,,2001,12546779000000
Africa,,2002,13152342000000
Africa,,2003,13366385000000
Africa,,2004,13581757000000
Africa,,2005,13578355000000
Africa,,2006,13649533000000
Africa,,2007,13923645000000
Africa,,2008,14027758000000
Africa,,2009,14148361000000
Africa,,2010,14009845000000
Africa,,2011,14094851000000
Africa,,2012,14032099000000
Africa,,2013,13967386000000
Africa,,2014,14136698000000
Africa,,2015,13984825000000
Africa,,2016,14418524000000
Africa,,2017,14535765000000
Africa,,2018,14595973000000
Africa,,2019,14946023000000
Africa,,2020,12888078000000
Africa (BP),,1980,5745695600000
Africa (BP),,1981,5672843500000
Africa (BP),,1982,6030209500000
Africa (BP),,1983,6032937500000
Africa (BP),,1984,5964087500000
Africa (BP),,1985,5913750000000
Africa (BP),,1986,7093112500000
Africa (BP),,1987,7074612600000
Africa (BP),,1988,7351975000000
Africa (BP),,1989,8104050000000.001
Africa (BP),,1990,8179175000000.001
Africa (BP),,1991,9080712000000
Africa (BP),,1992,9449702000000
Africa (BP),,1993,9565950000000
Africa (BP),,1994,8719087999999.999
Africa (BP),,1995,9486225000000
Africa (BP),,1996,9716492000000
Africa (BP),,1997,10152204000000
Africa (BP),,1998,10294591000000
Africa (BP),,1999,10942306500000
Africa (BP),,2000,11925086000000
Africa (BP),,2001,12546779000000
Africa (BP),,2002,13152342000000
Africa (BP),,2003,13366385000000
Africa (BP),,2004,13581758000000
Africa (BP),,2005,13578355000000
Africa (BP),,2006,13649533000000
Africa (BP),,2007,13923645000000
Africa (BP),,2008,14027758000000
Africa (BP),,2009,14148361000000
Africa (BP),,2010,14009845000000
Africa (BP),,2011,14094851000000
Africa (BP),,2012,14032099000000
Africa (BP),,2013,13967386000000
Africa (BP),,2014,14136698000000
Africa (BP),,2015,13984825000000
Africa (BP),,2016,14418524000000
Africa (BP),,2017,14535765000000
Africa (BP),,2018,14595973000000
Africa (BP),,2019,14946022000000
Africa (BP),,2020,12888078000000
Algeria,DZA,1980,3581462400000
Algeria,DZA,1981,3540075000000
Algeria,DZA,1982,3477512600000
Algeria,DZA,1983,3398587500000
Algeria,DZA,1984,3312925000000
Algeria,DZA,1985,3223412500000
Algeria,DZA,1986,3136787400000
Algeria,DZA,1987,3044387600000
Algeria,DZA,1988,3112725000000
Algeria,DZA,1989,3128125000000
Algeria,DZA,1990,3176250000000
Algeria,DZA,1991,3490025000000
Algeria,DZA,1992,3513125000000
Algeria,DZA,1993,3561250000000
Algeria,DZA,1994,2851887500000
Algeria,DZA,1995,3551625000000
Algeria,DZA,1996,3561250000000
Algeria,DZA,1997,3924112600000
Algeria,DZA,1998,3924112600000
Algeria,DZA,1999,4350500000000.0005
Algeria,DZA,2000,4353387400000
Algeria,DZA,2001,4353387400000
Algeria,DZA,2002,4353387400000
Algeria,DZA,2003,4374562300000
Algeria,DZA,2004,4374562300000
Algeria,DZA,2005,4335292300000
Algeria,DZA,2006,4335292300000
Algeria,DZA,2007,4335099999999.9995
Algeria,DZA,2008,4335099999999.9995
Algeria,DZA,2009,4335099999999.9995
Algeria,DZA,2010,4335099999999.9995
Algeria,DZA,2011,4335099999999.9995
Algeria,DZA,2012,4335011500000
Algeria,DZA,2013,4335011500000
Algeria,DZA,2014,4335099999999.9995
Algeria,DZA,2015,4335099999999.9995
Algeria,DZA,2016,4335099999999.9995
Algeria,DZA,2017,4335099999999.9995
Algeria,DZA,2018,4335099999999.9995
Algeria,DZA,2019,4335099999999.9995
Algeria,DZA,2020,2279200000000
Argentina,ARG,1980,624975000000
Argentina,ARG,1981,631800000000
Argentina,ARG,1982,674700000000
Argentina,ARG,1983,662025000000
Argentina,ARG,1984,651300000000
Argentina,ARG,1985,663975000000
Argentina,ARG,1986,654225000000
Argentina,ARG,1987,675675000000
Argentina,ARG,1988,753675000000
Argentina,ARG,1989,654225000000
Argentina,ARG,1990,643500000000
Argentina,ARG,1991,626925000000
Argentina,ARG,1992,527475000000
Argentina,ARG,1993,504075000000.00006
Argentina,ARG,1994,521625000000
Argentina,ARG,1995,603525000000
Argentina,ARG,1996,625950000000
